id,behavior_type,trigger,response,frequency,effectiveness,observed_date
beh-emotion-2026-05-30-bc22,emotion,Quite fucking sad.,sad,5,0.5,2026-05-27T13:24:03.113257
beh-emotion-2026-05-30-d5f7,emotion,"I'm quite confused, even desperate about what is happening and how i should react.",confused,2,0.5,2026-05-27T13:24:03.114559
beh-emotion-2026-05-30-c8fa,emotion,"I barely can remember all i've thought, much less the content of those things.",content,2,0.5,2026-05-27T13:24:03.114809
beh-emotion-2026-05-30-344a,emotion,"<font color=""#2DC26B"">(sent to tasks)</font>

And another thing that i noticed is this habit of mine of keeping #complaining about things when im #journaling, which is a habit that keeps me even more focused on just the bad things.",focused,2,0.5,2026-05-27T13:24:03.115682
beh-emotion-2026-05-30-e318,emotion,"Put all of my energy on that have two possible outcomes: a fucking awesome, never seen before project; or, the experience of a bike with no brakes running down a mountain with all related possibilities.",down,4,0.5,2026-05-27T13:24:03.115912
beh-emotion-2026-05-30-21b1,emotion,"I was angry as fuck, and had too little in me to run the script we usually do.",angry,4,0.5,2026-05-27T13:24:03.116245
beh-emotion-2026-05-30-dacb,emotion,"This looping kept going all day long, until eventually we're both to tired to keep fighting, crying and arguing about anything.",tired,2,0.5,2026-05-27T13:24:03.116476
beh-emotion-2026-05-30-8185,emotion,I'm so #afraid of all.,afraid,3,0.5,2026-05-27T13:24:03.116353
beh-emotion-2026-05-30-2f02,emotion,This got me #worried again.,worried,6,0.5,2026-05-27T13:24:03.116016
beh-emotion-2026-05-30-c88d,emotion,"I’m incapable of being the support of her #immaturity, of being stuck her incapacity to live as an adult woman.",stuck,2,0.5,2026-05-27T13:24:03.116676
beh-emotion-2026-05-30-08db,emotion,And I’m #exhausted of #feeling this eternal gravitational pull of her drawing and dragging me in.,exhausted,2,0.5,2026-05-27T13:24:03.114219
beh-emotion-2026-05-30-f054,emotion,"She kept proposing many compromises for us to make to each other, she said we must do things together, we must be able to rely on each other, we must capable of #feeling safe as a #couple and so on...",safe,3,0.5,2026-05-27T13:24:03.116767
beh-activity-2026-05-30-f6b8,activity,I learned i had my own tears to dry.,learned,2,0.5,2026-05-27T13:24:03.117006
beh-emotion-2026-05-30-95b1,emotion,"Again, i don't think that this was meant to be of any harm, but still remember me of very unhappy stuff about how she behaves and how her mind functions.",unhappy,2,0.5,2026-05-27T13:24:03.116847
beh-emotion-2026-05-30-058f,emotion,"I am happy they're all here together, but i'm also feeling trapped insight my thoughts.",happy,3,0.5,2026-05-27T13:24:03.115252
beh-emotion-2026-05-30-1924,emotion,I’m just starting to believe that this isn’t some kind of #depressed #mood causing some cognitive fog.,depressed,2,0.5,2026-05-27T13:24:03.116923
