id,title,content,category,created_at,updated_at,tags,linked_to,importance_level,original_format,conversion_metadata
09a43769b12b45af93f19103a01686d7,03h 32,"## 🎯 Today’s Focus



  

## 📝 Notes & Thoughts

#### FROM COUPLES VAULT:

PF hoje ficou de cara feia depois de Tamara ter pedido pra ele ficar com o bebê pela terceira vez seguida durante o turno de trabalho dele porque alguém da empresa dela estava querendo ligar pra ela. 

Primeira vez: 13:07 até 13:36  (31mins)
Segunda vez: 14h27 até 15h37 (70mins)
Terceira vez: 15h37 

Quando PF ficou de cara fechada Tamara não respeitou o espaço dele e ficou segurando ele a força forçando pra conversar. 


### 17h00 
Tamara entrou no escritório do PF  enquanto ele trabalhava, e sendo ignorante e começou a falar. PF mencionou que o combinado que tinha sido feito e documentado entre os dois incluía determinar momentos de conversa e que por isso não iria conversar naquele momento. 

Tamara ficou mais enfurecida e disse o seguinte para PF:
`“Eu te odeio”, “você é um desgraçado”, “você é um filha da puta”. ` 

Observação: o bebê estava presente e chorando. 

Depois disso só piorou com tamara tendo crise, gritou na frente do bebe e deixou ele apavorado pelo resto do dia. 

Dessa vez eu bati de frente com o meu limite e não sei se tenho qualquer vontade de continuar nessa vida perturbada. mas to muito preocupado com o bebê. Muito mesmo. 

Eu tenho medo de confiar em mim e na [[Tamara]] 90% do tempo quando o assunto é não afetar o filho. 

Não sei bem nem o que e nem como fazer. 

especialmente pq amanha eu deveria ir pra Brasília buscar as crianças pro aniversário de 1 ano do bebê... 




## ✅ Tasks

![[TASKS.base]]
  

## 📅 Meetings & Events

  

## 💡 Ideas & Insights

  

## 📚 Learning

  

## 🏆 Wins

  

## 🔗 Links & References

  

## 🌙 Evening Reflection

  

#### **What went well:**

  

#### **What could be improved:**

  

#### **Tomorrow’s priorities:**",daily-note,2025-12-10T03:32,,"command, dailynote, inbox",,,md,
4e1a66262cfb438bb5a4586edda12752,17h 41,"## 🎯 Today’s Focus



  

## 📝 Notes & Thoughts

What to write here after all this time when things are all the very same, if not even worst?

feels like just time being wasted... 

Actually that’s precisely how I feel, like all time has been wasted. 



## ✅ Tasks

![[TASKS.base]]
  

## 📅 Meetings & Events

  

## 💡 Ideas & Insights

  

## 📚 Learning

  

## 🏆 Wins

  

## 🔗 Links & References

  

## 🌙 Evening Reflection

  

#### **What went well:**

  

#### **What could be improved:**

  

#### **Tomorrow’s priorities:**",daily-note,2026-05-10T01:39,,"command, dailynote, inbox",,,md,
b222cb5c43ba4036a9cd94debd011717,17h 50,"## 🎯 Today’s Focus



  

## 📝 Notes & Thoughts

Today we had our time to sit down and plan our lives towards something better. We talked about organizing our routines using #obsidian , about our feelings and behaviors that affect each other. 

I wasn’t 100% #honest on how I see, #think and #feel about some things but because I decided that if I couldn’t talk calmly enough that I shouldn’t #talk at all. 

I’m really #guilty of the household duties even though in my mind I justify it saying I’m doing what she’s not capable of doing. But I’m totally wrong still. 

I can’t let myself #fail so much to cover up her #failures, because we all just end up with even more failures around. 

It’s time to let things loosen up a bit. 

It’s time for us to be #accountable for ourselves. 

And I guess somehow we did it today. 



## ✅ Tasks

![[TASKS.base]]
  

## 📅 Meetings & Events

  

## 💡 Ideas & Insights

  

## 📚 Learning

  

## 🏆 Wins

  
